Animal ID,BOP (psi),Pre-Blast 1,Pre-Blast 2,Pre-Blast 3,Post-Blast 3 ,1 month time point
218,,,2,,,
219,,,0,,,
220,,,1,,,
221,,,0,,,
225,,0,,,,
229,,0,,,,
230,,0,,,,
231,,0,,,,
232,X,0,,,,
233,,,3,4,2,
235,,,3,,,
237,,,4,4,3,
238,,,2,4,2,
239,,,3,6,2,
240,,,1,5,5,
241,X,,,,,
242,X,,,,,
243,X,,,,,
244,X,,,,,
245,X,,,,,
246,,1,3,1,2,
247,,0,2,3,4,
249,X,1,1,1,0,
250,,0,2,2,3,
252,X,0,1,0,0,
254,,0,1,1,2,
255,X,1,2,0,0,
260,X,0,1,1,,
262,,0,4,3,,
265,X,0,3,0,,
266,,0,0,1,,
267,,0,1,0,,
268,,1,2,2,,
270,X,0,0,0,,
271,,0,0,3,,
273,,0,0,1,,
277,,0,1,1,,
279,X,1,0,1,,
281,,0,0,0,,
282,,0,2,0,,
284,X,1,0,4,,
285,X,0,0,1,,
286,,0,0,0,,
287,,0,2,1,,
289,X,0,0,0,,
290,,0,2,1,,
293,X,1,0,1,,
302,,0,1,2,1,0
304,X,0,0,0,0,0
305,,0,2,1,1,1
308,X,0,0,2,0,0
309,X,0,0,2,,0
310,X,0,0,1,0,0
312,,0,0,0,1,0
313,,0,0,0,1,1
314,,0,2,1,2,1
315,,0,0,2,,
318,X,0,0,1,,
320,,0,0,0,,
321,,0,2,0,,
322,,0,2,0,,
323,X,0,1,0,,
324,X,0,0,0,,
325,,0,0,0,,
326,,0,1,0,,
327,,0,1,0,,
328,X,0,1,0,,
329,X,0,0,0,,
331,,0,2,2,,
333,X,1,2,1,,
334,X,1,0,0,,
335,,0,0,1,,
336,,1,0,1,,
337,,0,0,0,,
338,X,0,1,0,,
339,X,0,0,0,,
340,,0,0,0,,
341,,0,0,0,,
342,,0,0,1,,
343,X,0,0,0,,
344,X,0,1,0,,
345,,0,0,1,,
347,,0,0,0,,
349,X,0,0,0,,
350,,0,0,0,,
351,,0,0,0,,
352,,0,0,0,,
353,X,0,0,0,,
354,X,0,2,1,,
355,,0,0,0,,
357,,1,0,0,,
358,X,0,0,1,,
359,X,0,0,0,,
360,,0,1,0,,
361,,1,0,0,,
362,,0,0,0,,
363,X,0,0,0,,
364,X,0,0,0,,
365,,0,0,0,,
366,,0,0,0,,
367,,0,0,0,,
368,X,0,0,0,,
369,X,0,0,0,,
370,,1,0,1,,
371,,1,1,0,,
373,X,0,0,0,,
374,X,1,0,1,,
375,,0,0,0,,
376,,0,0,0,,
378,X,0,0,0,,
379,X,0,0,0,,
380,,0,0,0,,
381,,0,2,1,,
382,,0,1,1,,
383,x,0,0,0,,
384,x,0,0,0,,
386,,0,0,0,,
388,x,0,1,0,,
389,x,0,1,0,,
390,,0,0,0,,
391,,0,0,1,,
392,,0,1,0,,
393,x,0,0,0,,
394,x,0,0,0,,
395,,0,,,,
396,X,0,,,,
397,,0,,,,
398,X,0,0,0,,
399,,0,0,0,,
400,,0,0,0,,
401,,0,0,0,,
402,,1,0,0,,
403,,0,0,0,,
404,X,0,0,0,,
405,X,0,0,0,,
406,X,0,0,0,,
407,X,0,1,1,,
408,X,0,1,0,,
409,,1,0,0,0,
410,,0,0,0,0,
411,,0,1,0,0,
412,X,0,0,0,1,
413,X,0,0,0,0,
414,,0,0,0,0,
415,,0,0,0,0,
416,,0,0,0,0,
417,X,0,0,0,0,
418,X,0,0,0,0,